,cells | Freq. of Parent (%),Single Cells | Freq. of Parent (%),"Time, SSC-A subset | Freq. of Parent (%)",passed_debris | Freq. of Parent (%),passed_doublet | Freq. of Parent (%),passed_time | Freq. of Parent (%),"passed_time/Time, SSC-A subset | Freq. of Parent (%)",passed_doublet/Single Cells | Freq. of Parent (%),passed_debris/cells | Freq. of Parent (%),
trim_LB180_NT.fcs,60.8,80.6,97.8,,,,,,,
trim_LB192_NT.fcs,79.1,89.4,97.3,,,,,,,
trim_LB200_NT.fcs,36.8,43.3,92.8,,,,,,,
trim_LB202_T.fcs,44.9,63.4,89.0,93.1,82.8,82.1,90.0,72.1,48.2,
trim_LB202_T.fcs,44.9,63.4,89.0,,,,,,,
trim_LB236_T.fcs,50.5,48.2,93.0,79.4,91.6,76.5,94.8,51.9,63.6,
trim_LB236_T.fcs,50.5,48.2,93.0,,,,,,,
trim_LB262_T.fcs,74.3,76.8,91.8,67.8,92.2,88.1,92.8,82.7,84.5,
trim_LB262_T.fcs,74.3,76.8,91.8,,,,,,,
Mean,57.3,65.6,92.8,,,,,,,
SD,15.4,16.4,3.09,,,,,,,
