,Count,1 | Freq. of Parent (%),2 | Freq. of Parent (%),3 | Freq. of Parent (%),
A05A1A3_306010_trimix_flowcut.fcs,5.65E5,32.3,67.7,0,
A05A1A3_601030_trimix_flowcut.fcs,341000,59.5,10.2,30.3,
A05A3_1090_bimix_flowcut.fcs,1.72E6,0,100,0,
A05A3_2575_bimix_flowcut.fcs,9.73E5,24.0,76.0,0,
A05A3_4060_segment_flowcut.fcs,6.22E5,40.0,60.0,0,
A05A3_6040_bimix_flowcut.fcs,4.05E5,59.6,40.4,0,
A05A3_8020_bimix_flowcut.fcs,172473,100,0,0,
A05A3_8515_segment_flowcut.fcs,231000,100,0,0,
A05A3A1_454510_trimix_flowcut.fcs,4.50E5,44.4,45.9,9.69,
B1B3_2080_bimix_flowcut.fcs,1.79E6,0.055,99.9,0,
B1B3_7030_segment_flowcut.fcs,7.79E5,69.7,30.3,0,
B1B05_2575_segment_flowcut.fcs,269956,24.8,75.2,0,
B1B05_4555_bimix_flowcut.fcs,4.04E5,45.7,54.3,0,
B1B05_5050_segment_flowcut.fcs,4.37E5,50.9,49.1,0,
B1B05_7525_bimix_flowcut.fcs,7.15E5,75.9,24.1,0,
B3B1_1090_segment_flowcut.fcs,5.09E5,0,100,0,
B3B1_1585_bimix_flowcut.fcs,5.27E5,0,100,0,
B3B1_2575_bimix_flowcut.fcs,4.44E5,1.07,98.9,0,
B3B1_5545_segment_flowcut.fcs,1.26E6,55.6,44.4,0,
B3B1_6040_bimix_flowcut.fcs,1.44E6,60.1,39.9,0,
B3B1_8020_segment_flowcut.fcs,2.50E6,80.1,19.9,0,
B3B1B05_204535_trimix_flowcut.fcs,380500,0,59.5,40.5,
B3B1B05_253540_trimix_flowcut.fcs,5.12E5,24.9,35.7,39.5,
B3B1B05_503515_trimix_flowcut.fcs,1.36E6,50.7,35.1,14.2,
B3B1B05_651025_trimix_flowcut.fcs,8.05E5,66.8,10.3,22.9,
B3B05_2080_segment_flowcut.fcs,172990,0,100,0,
B3B05_3565_bimix_flowcut.fcs,346217,35.2,64.8,0,
B3B05_6040_segment_flowcut.fcs,4.93E5,63.1,36.9,0,
B3B05_6535_bimix_flowcut.fcs,5.77E5,66.6,33.4,0,
B3B05_7525_bimix_flowcut.fcs,5.77E5,100.0,3.47E?4,0,
B3B05_8020_segment_flowcut.fcs,8.67E5,100,0,0,
B3B05B1_652510_trimix_flowcut.fcs,8.88E5,65.8,24.1,10.1,
B3B05B1_801010_trimix_flowcut.fcs,1.58E6,100.0,0,0.020,
B05B1_3070_bimix_flowcut.fcs,6.77E5,29.5,70.5,0,
B05B1_3565_segment_flowcut.fcs,6.31E5,33.8,66.2,0,
B05B1_6535_segment_flowcut.fcs,312448,64.2,35.8,0,
B05B1_7030_bimix_flowcut.fcs,286400,69.7,30.3,0,
B05B3_5545_segment_flowcut.fcs,398789,54.0,46.0,0,
B05B3_7030_bimix_flowcut.fcs,292400,70.1,29.9,0,
B05B3B1_151570_trimix_flowcut.fcs,4.55E5,1.31,0,98.7,
B05B3B1_751510_trimix_flowcut.fcs,171500,100,0,0,
C1C3_1090_bimix_flowcut.fcs,1.75E6,0,100,0,
C1C3_3070_bimix_flowcut.fcs,1.98E6,29.1,70.9,0,
C1C3C05_107515_trimix_flowcut.fcs,9.80E5,0.18,99.8,0,
C1C3C05_205525_trimix_flowcut.fcs,8.54E5,20.7,57.1,22.3,
C1C3C05_302545_trimix_flowcut.fcs,4.81E5,30.3,25.4,44.2,
C1C3C05_452035_trimix_flowcut.fcs,6.50E5,45.8,20.2,33.9,
C1C05_1585_segment_flowcut.fcs,203704,0,100,0,
C1C05_2080_bimix_flowcut.fcs,194000,0,100,0,
C1C05_3070_bimix_flowcut.fcs,310185,30.4,69.6,0,
C1C05_4060_segment_flowcut.fcs,352998,39.8,60.2,0,
C1C05_5545_segment_flowcut.fcs,4.67E5,57.1,42.9,0,
C3C1_1585_segment_flowcut.fcs,6.10E5,0,100,0,
C3C1_3070_segment_flowcut.fcs,8.52E5,29.7,70.3,0,
C3C1_4060_bimix_flowcut.fcs,1.06E6,40.2,59.8,0,
C3C1_4555_segment_flowcut.fcs,1.16E6,45.2,54.8,0,
C3C1_9010_segment_flowcut.fcs,1.84E6,100,0,0,
C3C1C05_104545_trimix_flowcut.fcs,4.04E5,0,54.1,45.9,
C3C1C05_403525_trimix_flowcut.fcs,9.18E5,40.5,35.5,23.9,
C3C05_1090_segment_flowcut.fcs,209165,0,100,0,
C3C05_1585_segment_flowcut.fcs,202204,0,100,0,
C3C05_2575_segment_flowcut.fcs,295260,24.9,75.1,0,
C3C05_5050_bimix_flowcut.fcs,4.26E5,53.4,46.6,0,
C3C05_6535_bimix_flowcut.fcs,5.71E5,71.7,28.3,0,
C3C05_9010_bimix_flowcut.fcs,1.76E6,100,0,0,
C3C05_9010_segment_flowcut.fcs,1.70E6,100,0,0,
C3C05C1_101080_trimix_flowcut.fcs,6.00E5,0.053,8.85,91.1,
C3C05C1_651025_trimix_flowcut.fcs,2.14E6,67.0,8.13,24.9,
C05C1_7030_bimix_flowcut.fcs,326452,69.7,30.3,0,
C05C1_7525_bimix_flowcut.fcs,286880,74.7,25.3,0,
C05C3_8515_bimix_flowcut.fcs,204199,100,0,0,
A1A3_1090_bimix_flowcut.fcs,1.86E6,0,100,0,
A1A3_1585_bimix_flowcut.fcs,1.99E6,0,100,0,
A1A3_7525_segment_flowcut.fcs,4.89E5,100,0,0,
A1A3_8020_segment_flowcut.fcs,4.88E5,100,0,0,
A1A3_9010_bimix_flowcut.fcs,4.89E5,100,0,0,
A1A3A05_551035_trimix_flowcut.fcs,5.50E5,62.1,0.13,37.7,
A1A3A05_651025_trimix_flowcut.fcs,6.49E5,73.9,0.013,26.1,
A1A3A05_651520_trimix_flowcut.fcs,8.48E5,65.1,15.1,19.8,
A1A05_4060_segment_flowcut.fcs,390978,39.6,60.4,0,
A1A05_5545_segment_flowcut.fcs,4.50E5,56.1,43.9,0,
A3A1_1090_segment_flowcut.fcs,5.23E5,0,100,0,
A3A1_2575_segment_flowcut.fcs,5.07E5,0,100,0,
A3A1A05_103555_trimix_flowcut.fcs,359600,0,39.3,60.7,
A3A05_1090_segment_flowcut.fcs,155124,0,100,0,
A3A05_7030_segment_flowcut.fcs,6.99E5,70.0,30.0,0,
A05A1_2080_bimix_flowcut.fcs,6.40E5,19.2,80.8,0,
A05A1_2575_bimix_flowcut.fcs,7.23E5,24.4,75.6,0,
A05A1_3070_bimix_flowcut.fcs,7.74E5,29.7,70.3,0,
A05A1_4060_bimix_flowcut.fcs,5.04E5,39.2,60.8,0,
A05A1_4555_segment_flowcut.fcs,5.32E5,44.9,55.1,0,
A05A1A3_157510_trimix_flowcut.fcs,5.86E5,15.6,84.4,0.030,
