,Count,1 | Freq. of Parent (%),2 | Freq. of Parent (%),3 | Freq. of Parent (%),
A31_6535_bimix_flowcut.fcs,1.56E6,66.1,33.9,0,
A31_6535_segment_flowcut.fcs,1.48E6,65.3,34.7,0,
A051_2080_bimix_flowcut.fcs,6.45E5,19.5,80.5,0,
A051_2080_segment_flowcut.fcs,6.53E5,17.1,82.9,0,
A053_6535_bimix_flowcut.fcs,312418,64.6,35.4,0,
A053_6535_segment_flowcut.fcs,365329,63.6,36.4,0,
A0513_404020_trimix_flowcut.fcs,393625,49.8,50.2,0,
A0531_202060_trimix_flowcut.fcs,9.18E5,19.7,20.2,60.1,
B31_8020_bimix_flowcut.fcs,1.78E6,100.0,0.038,0,
B31_8020_segment_flowcut.fcs,2.39E6,82.3,17.7,0,
B051_6535_bimix_flowcut.fcs,335217,65.6,34.4,0,
B051_6535_segment_flowcut.fcs,333745,64.7,35.3,0,
B053_2080_bimix_flowcut.fcs,7.89E5,0,100,0,
B053_2080_segment_flowcut.fcs,7.85E5,0,100,0,
B0513_202060_trimix_flowcut.fcs,1.02E6,19.1,20.0,60.9,
B3051_404020_trimix_flowcut.fcs,5.55E5,40.1,39.4,20.4,
C31_5050_bimix_flowcut.fcs,1.26E6,50.8,49.2,0,
C31_5050_segment_flowcut.fcs,1.15E6,50.9,49.1,0,
C051_5050_bimix_flowcut.fcs,4.35E5,48.4,51.6,0,
C051_5050_segment_flowcut.fcs,4.34E5,48.4,51.6,0,
C053_5050_bimix_flowcut.fcs,4.20E5,47.1,52.9,0,
C053_5050_segment_flowcut.fcs,4.27E5,48.1,51.9,0,
Mean,8.38E5,46.9,46.7,6.43,
SD,5.60E5,25.5,25.4,18.0,
