,Count,1 | Freq. of Parent (%),2 | Freq. of Parent (%),3 | Freq. of Parent (%),
A1A3A05_106525_trimix_flowcut.fcs,8.16E5,9.81,66.0,24.1,
A1A3A05_252055_trimix_flowcut.fcs,274500,27.0,3.16,69.8,
A1A3_3070_segment_flowcut.fcs,1.84E6,29.3,70.7,0,
A1A3_5050_bimix_flowcut.fcs,1.02E6,49.5,50.5,0,
A1A3_5545_segment_flowcut.fcs,9.92E5,54.5,45.5,0,
A1A3_6040_bimix_flowcut.fcs,9.11E5,59.8,40.2,0,
A1A3_7525_bimix_flowcut.fcs,4.68E5,97.3,2.67,0,
A1A05A3_501535_trimix_flowcut.fcs,1.03E6,50.3,14.7,35.0,
A1A05_4555_segment_flowcut.fcs,4.30E5,44.7,55.3,0,
A3A1A05_106525_trimix_flowcut.fcs,7.50E5,3.55,70.3,26.2,
A3A1A05_305020_trimix_flowcut.fcs,1.03E6,30.2,50.3,19.5,
A3A1A05_502525_trimix_flowcut.fcs,9.73E5,50.2,25.1,24.7,
A3A1_1090_segment_flowcut.fcs,4.93E5,0,100,0,
A3A05A1_454510_trimix_flowcut.fcs,5.41E5,45.4,44.8,9.80,
A3A05_1585_segment_flowcut.fcs,229073,0,100,0,
A05A1A3_405010_trimix_flowcut.fcs,5.35E5,43.6,54.7,1.64,
A05A1_1090_segment_flowcut.fcs,5.99E5,9.07,90.9,0,
A05A1_1585_segment_flowcut.fcs,6.05E5,14.4,85.6,0,
A05A1_3565_bimix_flowcut.fcs,5.75E5,34.1,65.9,0,
A05A1_4555_bimix_flowcut.fcs,4.44E5,45.0,55.0,0,
A05A1_5545_bimix_flowcut.fcs,4.31E5,55.9,44.1,0,
A05A1_7030_bimix_flowcut.fcs,339574,70.6,29.4,0,
A05A1_9010_segment_flowcut.fcs,269320,89.9,10.1,0,
A05A3_1585_bimix_flowcut.fcs,1.29E6,0.57,99.4,0,
A05A3_2080_bimix_flowcut.fcs,7.91E5,1.98,98.0,0,
A05A3_3565_segment_flowcut.fcs,7.11E5,35.0,65.0,0,
A05A3_7525_bimix_flowcut.fcs,217836,98.3,1.72,0,
A05A3_9010_bimix_flowcut.fcs,195860,99.4,0.64,0,
A05A3_9010_segment_flowcut.fcs,161500,100,0,0,
B1B3B05_101080_trimix_flowcut.fcs,246459,10.3,1.72,88.0,
B1B3B05_302545_trimix_flowcut.fcs,4.99E5,30.2,25.1,44.6,
B1B3B05_504010_trimix_flowcut.fcs,1.14E6,50.6,40.0,9.44,
B1B3B05_651025_trimix_flowcut.fcs,8.39E5,65.2,10.1,24.7,
B1B3_1585_bimix_flowcut.fcs,1.95E6,2.28,97.7,0,
B1B3_5545_bimix_flowcut.fcs,9.85E5,54.6,45.4,0,
B1B3_6040_segment_flowcut.fcs,9.03E5,59.6,40.4,0,
B1B3_8020_bimix_flowcut.fcs,5.70E5,96.5,3.53,0,
B1B3_8515_segment_flowcut.fcs,4.91E5,100,0,0,
B1B05B3_103060_trimix_flowcut.fcs,6.83E5,10.2,29.1,60.7,
B1B05B3_205030_trimix_flowcut.fcs,4.11E5,20.3,49.3,30.4,
B1B05B3_355510_trimix_flowcut.fcs,336513,38.4,59.1,2.46,
B1B05_7525_segment_flowcut.fcs,6.94E5,77.3,22.7,0,
B3B1_4060_segment_flowcut.fcs,9.57E5,39.9,60.1,0,
B3B1_5050_bimix_flowcut.fcs,1.08E6,50.5,49.5,0,
B3B1_8020_segment_flowcut.fcs,1.93E6,100,0,0,
B3B05_9010_segment_flowcut.fcs,1.80E6,100,0,0,
B05B1_4060_segment_flowcut.fcs,5.07E5,38.7,61.3,0,
B05B1_6040_bimix_flowcut.fcs,334300,59.5,40.5,0,
B05B1_6535_bimix_flowcut.fcs,343527,64.8,35.2,0,
B05B1_7525_bimix_flowcut.fcs,298578,75.2,24.8,0,
B05B1_8515_segment_flowcut.fcs,201000,100,0,0,
B05B3_1090_segment_flowcut.fcs,1.88E6,0,100,0,
B05B3_2080_segment_flowcut.fcs,8.80E5,0,100,0,
B05B3_4060_segment_flowcut.fcs,4.85E5,36.6,63.4,0,
B05B3_6040_bimix_flowcut.fcs,373312,59.7,40.3,0,
B05B3_7525_bimix_flowcut.fcs,197000,96.0,4.02,0,
B05B3_9010_bimix_flowcut.fcs,211699,99.4,0.55,0,
C1C3C05_106030_trimix_flowcut.fcs,7.08E5,10.1,62.4,27.5,
C1C3C05_352045_trimix_flowcut.fcs,387126,41.9,8.70,49.4,
C1C3C05_353530_trimix_flowcut.fcs,7.53E5,35.8,36.0,28.2,
C1C3C05_801010_trimix_flowcut.fcs,5.78E5,95.3,2.20,2.53,
C1C3_1090_bimix_flowcut.fcs,1.77E6,0.47,99.5,0,
C1C3_2575_segment_flowcut.fcs,2.32E6,23.1,76.9,0,
C1C3_4555_segment_flowcut.fcs,1.41E6,44.5,55.5,0,
C1C3_5050_segment_flowcut.fcs,1.13E6,47.7,52.3,0,
C1C3_7525_segment_flowcut.fcs,7.90E5,74.8,25.2,0,
C1C05_3070_segment_flowcut.fcs,309213,30.7,69.3,0,
C1C05_4060_bimix_flowcut.fcs,360376,40.6,59.4,0,
C1C05_6040_bimix_flowcut.fcs,5.53E5,61.8,38.2,0,
C1C05_9010_segment_flowcut.fcs,7.07E5,91.9,8.11,0,
C3C1C05_101080_trimix_flowcut.fcs,211356,0.76,2.32,96.9,
C3C1C05_107020_trimix_flowcut.fcs,9.19E5,9.83,71.0,19.2,
C3C1C05_204040_trimix_flowcut.fcs,5.44E5,20.3,40.6,39.2,
C3C1C05_301555_trimix_flowcut.fcs,4.14E5,30.2,15.0,54.8,
C3C1_3565_bimix_flowcut.fcs,9.18E5,35.2,64.8,0,
C3C1_8020_bimix_flowcut.fcs,2.23E6,81.1,18.9,0,
C3C05_4060_bimix_flowcut.fcs,380742,40.5,59.5,0,
C3C05_4555_segment_flowcut.fcs,382866,46.7,53.3,0,
C3C05_5050_bimix_flowcut.fcs,4.26E5,51.9,48.1,0,
C05C1_1090_segment_flowcut.fcs,6.08E5,0,100,0,
C05C1_1585_segment_flowcut.fcs,6.94E5,13.9,86.1,0,
C05C1_8515_bimix_flowcut.fcs,210256,93.9,6.12,0,
C05C3_1585_segment_flowcut.fcs,1.26E6,0,100,0,
C05C3_3565_segment_flowcut.fcs,6.38E5,32.3,67.7,0,
C05C3_7030_bimix_flowcut.fcs,199500,96.8,3.24,0,
C05C3_8515_bimix_flowcut.fcs,216000,98.0,2.04,0,
C05C3_9010_segment_flowcut.fcs,207500,100,0,0,
Mean,7.18E5,47.5,43.4,9.07,
SD,4.99E5,32.9,32.2,20.1,
