,Count,passedtime | Freq. of Parent (%),passedtime/1 | Freq. of Parent (%),passedtime/2 | Freq. of Parent (%),passedtime/3 | Freq. of Parent (%),
flowmop_A1A05_4060_segment.fcs,4.14E5,93.3,40.8,59.2,0,
flowmop_A1A05_5545_segment.fcs,4.66E5,53.9,99.2,0.77,0,
flowmop_A3A1_1090_segment.fcs,6.26E5,67.5,0,100,0,
flowmop_A3A1_2575_segment.fcs,7.51E5,68.7,0,100,0,
flowmop_A3A1A05_103555_trimix.fcs,4.52E5,79.8,0,34.3,65.7,
flowmop_A3A05_1090_segment.fcs,232870,65.7,0,100,0,
flowmop_A3A05_7030_segment.fcs,6.99E5,55.7,100,0,0,
flowmop_A05A1_2080_bimix.fcs,6.58E5,69.1,1.04,99.0,0,
flowmop_A05A1_2575_bimix.fcs,7.51E5,73.0,3.27,96.7,0,
flowmop_A05A1_3070_bimix.fcs,8.04E5,84.5,21.0,79.0,0,
flowmop_A05A1_4060_bimix.fcs,5.24E5,87.3,39.6,60.4,0,
flowmop_A05A1_4555_segment.fcs,5.53E5,92.4,43.0,57.0,0,
flowmop_A05A1A3_157510_trimix.fcs,7.02E5,62.4,0.25,99.7,0,
flowmop_A05A1A3_306010_trimix.fcs,6.99E5,78.3,28.7,71.3,0,
flowmop_A05A1A3_601030_trimix.fcs,349300,71.7,81.5,13.7,4.83,
flowmop_A05A3_1090_bimix.fcs,2.10E6,69.8,0,100,0,
flowmop_A05A3_2575_bimix.fcs,9.95E5,69.1,4.16,95.8,0,
flowmop_A05A3_4060_segment.fcs,6.22E5,51.5,0,100,0,
flowmop_A05A3_6040_bimix.fcs,4.14E5,94.6,63.0,37.0,0,
flowmop_A05A3_8020_bimix.fcs,261973,69.5,100,0,0,
flowmop_A05A3_8515_segment.fcs,292573,76.0,99.8,0.17,0,
flowmop_A05A3A1_454510_trimix.fcs,4.66E5,90.1,47.8,48.7,3.42,
flowmop_B1B3_2080_bimix.fcs,2.53E6,84.6,12.6,87.4,0,
flowmop_B1B3_7030_segment.fcs,7.96E5,61.0,100,0,0,
flowmop_B1B05_2575_segment.fcs,279456,69.6,0,100,0,
flowmop_B1B05_4555_bimix.fcs,4.16E5,87.7,40.2,59.8,0,
flowmop_B1B05_5050_segment.fcs,4.58E5,91.7,49.9,50.1,0,
flowmop_B1B05_7525_bimix.fcs,7.43E5,79.5,81.4,18.6,0,
flowmop_B3B1_1090_segment.fcs,6.19E5,57.9,0,100,0,
flowmop_B3B1_1585_bimix.fcs,6.87E5,72.3,0,100,0,
flowmop_B3B1_2575_bimix.fcs,7.43E5,79.5,13.6,86.4,0,
flowmop_B3B1_5545_segment.fcs,1.30E6,55.3,99.5,0.52,0,
flowmop_B3B1_6040_bimix.fcs,1.46E6,97.6,59.7,40.3,0,
flowmop_B3B1_8020_segment.fcs,2.53E6,61.8,100,0,0,
flowmop_B3B1B05_204535_trimix.fcs,5.99E5,90.7,13.7,48.7,37.6,
flowmop_B3B1B05_253540_trimix.fcs,5.24E5,95.5,23.7,35.2,41.2,
flowmop_B3B1B05_503515_trimix.fcs,1.40E6,92.6,50.9,36.3,12.8,
flowmop_B3B1B05_651025_trimix.fcs,8.38E5,96.0,67.0,10.4,22.6,
flowmop_B3B05_2080_segment.fcs,261990,67.3,0,100,0,
flowmop_B3B05_3565_bimix.fcs,352217,79.6,20.9,79.1,0,
flowmop_B3B05_6040_segment.fcs,5.24E5,56.5,100,0,0,
flowmop_B3B05_6535_bimix.fcs,5.99E5,94.9,68.2,31.8,0,
flowmop_B3B05_7525_bimix.fcs,9.16E5,73.9,95.3,4.66,0,
flowmop_B3B05_8020_segment.fcs,1.14E6,63.6,100,0,0,
flowmop_B3B05B1_652510_trimix.fcs,9.16E5,93.2,68.4,23.8,7.75,
flowmop_B3B05B1_801010_trimix.fcs,2.29E6,84.2,87.4,5.79,6.81,
flowmop_B05B1_3070_bimix.fcs,6.99E5,89.5,28.3,71.7,0,
flowmop_B05B1_3565_segment.fcs,6.54E5,59.8,0,100,0,
flowmop_B05B1_6535_segment.fcs,322448,66.3,95.5,4.52,0,
flowmop_B05B1_7030_bimix.fcs,299400,87.2,76.0,24.0,0,
flowmop_B05B3_5545_segment.fcs,4.16E5,56.8,95.6,4.41,0,
flowmop_B05B3_7030_bimix.fcs,299400,73.7,92.3,7.66,0,
flowmop_B05B3B1_151570_trimix.fcs,7.96E5,66.1,7.60,0.23,92.2,
flowmop_B05B3B1_751510_trimix.fcs,305259,70.4,97.8,0,2.19,
flowmop_C1C3_1090_bimix.fcs,2.14E6,70.3,0,100,0,
flowmop_C1C3_3070_bimix.fcs,2.02E6,94.3,26.8,73.2,0,
flowmop_C1C3C05_107515_trimix.fcs,1.57E6,70.9,8.33,91.6,0.038,
flowmop_C1C3C05_205525_trimix.fcs,8.95E5,90.5,21.6,60.6,17.8,
flowmop_C1C3C05_302545_trimix.fcs,4.97E5,93.7,29.1,24.8,46.1,
flowmop_C1C3C05_452035_trimix.fcs,6.72E5,94.1,47.7,15.1,37.2,
flowmop_C1C05_1585_segment.fcs,276704,61.6,0,100,0,
flowmop_C1C05_2080_bimix.fcs,294000,77.0,1.55,98.5,0,
flowmop_C1C05_3070_bimix.fcs,319685,83.3,23.1,76.9,0,
flowmop_C1C05_4060_segment.fcs,391998,58.6,0,100,0,
flowmop_C1C05_5545_segment.fcs,4.97E5,53.4,99.3,0.70,0,
flowmop_C3C1_1585_segment.fcs,7.76E5,69.8,0,100,0,
flowmop_C3C1_3070_segment.fcs,8.64E5,61.6,0,100,0,
flowmop_C3C1_4060_bimix.fcs,1.10E6,97.4,39.8,60.2,0,
flowmop_C3C1_4555_segment.fcs,1.20E6,98.1,45.9,54.1,0,
flowmop_C3C1_9010_segment.fcs,2.14E6,62.2,100,0,0,
