,Count,1 | Freq. of Parent (%),2 | Freq. of Parent (%),3 | Freq. of Parent (%),
A3A1_2575_segment_peacoqc.fcs,309750,0,100,0,
A3A1A05_103555_trimix_peacoqc.fcs,161000,18.1,0,81.9,
A3A05_1090_segment_peacoqc.fcs,97000,0,100,0,
A3A05_7030_segment_peacoqc.fcs,4.38E5,100,0,0,
A05A1_2080_bimix_peacoqc.fcs,4.72E5,0.92,99.1,0,
A05A1_2575_bimix_peacoqc.fcs,5.13E5,2.18,97.8,0,
A05A1_3070_bimix_peacoqc.fcs,4.52E5,1.06,98.9,0,
A05A1_4060_bimix_peacoqc.fcs,195000,1.44,98.6,0,
A05A1_4555_segment_peacoqc.fcs,157500,0,100,0,
A05A1A3_157510_trimix_peacoqc.fcs,5.49E5,14.3,85.2,0.49,
A05A1A3_306010_trimix_peacoqc.fcs,5.50E5,30.8,68.8,0.35,
A05A1A3_601030_trimix_peacoqc.fcs,166500,98.2,0.38,1.39,
A05A3_1090_bimix_peacoqc.fcs,1.98E6,9.22,90.8,0,
A05A3_2575_bimix_peacoqc.fcs,5.88E5,0.075,99.9,0,
A05A3_4060_segment_peacoqc.fcs,198750,0,100,0,
A05A3_6040_bimix_peacoqc.fcs,159434,98.6,1.36,0,
A05A3_8020_bimix_peacoqc.fcs,131473,99.7,0.27,0,
A05A3_8515_segment_peacoqc.fcs,109500,100,0,0,
A05A3A1_454510_trimix_peacoqc.fcs,346000,42.9,56.7,0.35,
B1B3_2080_bimix_peacoqc.fcs,6.51E5,0,100,0,
B1B3_7030_segment_peacoqc.fcs,4.80E5,100,0,0,
B1B05_2575_segment_peacoqc.fcs,97500,0,100,0,
B1B05_4555_bimix_peacoqc.fcs,168000,2.52,97.5,0,
B1B05_5050_segment_peacoqc.fcs,109000,0,100,0,
B1B05_7525_bimix_peacoqc.fcs,5.34E5,97.3,2.70,0,
B3B1_1090_segment_peacoqc.fcs,236250,0,100,0,
B3B1_1585_bimix_peacoqc.fcs,4.17E5,0.87,99.1,0,
B3B1_2575_bimix_peacoqc.fcs,4.94E5,7.38,92.6,0,
B3B1_5545_segment_peacoqc.fcs,5.64E5,100,0,0,
B3B1_6040_bimix_peacoqc.fcs,9.51E5,76.0,24.0,0,
B3B1_8020_segment_peacoqc.fcs,1.15E6,100,0,0,
B3B1B05_204535_trimix_peacoqc.fcs,303750,0,61.3,38.7,
B3B1B05_253540_trimix_peacoqc.fcs,292500,0.66,54.8,44.5,
B3B1B05_503515_trimix_peacoqc.fcs,9.27E5,54.3,43.4,2.28,
B3B1B05_651025_trimix_peacoqc.fcs,6.88E5,73.9,2.01,24.0,
B3B05_2080_segment_peacoqc.fcs,93000,0,100,0,
B3B05_3565_bimix_peacoqc.fcs,146250,0.94,99.1,0,
B3B05_6040_segment_peacoqc.fcs,162500,100,0,0,
B3B05_6535_bimix_peacoqc.fcs,315000,99.4,0.61,0,
B3B05_7525_bimix_peacoqc.fcs,8.40E5,74.8,25.2,0,
B3B05_8020_segment_peacoqc.fcs,7.55E5,100,0,0,
B3B05B1_652510_trimix_peacoqc.fcs,7.80E5,66.0,24.4,9.52,
B3B05B1_801010_trimix_peacoqc.fcs,2.12E6,82.3,9.07,8.68,
B05B1_3070_bimix_peacoqc.fcs,4.14E5,1.16,98.8,0,
B05B1_3565_segment_peacoqc.fcs,174000,0,100,0,
B05B1_6535_segment_peacoqc.fcs,174000,100,0,0,
B05B1_7030_bimix_peacoqc.fcs,181650,98.6,1.44,0,
B05B3_5545_segment_peacoqc.fcs,98000,100,0,0,
B05B3_7030_bimix_peacoqc.fcs,179250,98.0,2.05,0,
B05B3B1_151570_trimix_peacoqc.fcs,7.30E5,14.8,14.5,70.7,
B05B3B1_751510_trimix_peacoqc.fcs,189000,81.0,18.9,0.11,
C1C3_1090_bimix_peacoqc.fcs,2.11E6,10.1,89.9,0,
C1C3_3070_bimix_peacoqc.fcs,1.99E6,30.3,69.7,0,
C1C3C05_107515_trimix_peacoqc.fcs,1.39E6,3.67,82.3,14.0,
C1C3C05_205525_trimix_peacoqc.fcs,5.23E5,0,71.7,28.3,
C1C3C05_302545_trimix_peacoqc.fcs,294000,38.5,0.50,61.0,
C1C3C05_452035_trimix_peacoqc.fcs,5.16E5,55.2,2.05,42.8,
C1C05_1585_segment_peacoqc.fcs,120750,0,100,0,
C1C05_2080_bimix_peacoqc.fcs,206250,0.70,99.3,0,
C1C05_3070_bimix_peacoqc.fcs,216000,1.28,98.7,0,
C1C05_4060_segment_peacoqc.fcs,104000,0,100,0,
C1C05_5545_segment_peacoqc.fcs,116000,100,0,0,
C3C1_1585_segment_peacoqc.fcs,332500,0,100,0,
C3C1_3070_segment_peacoqc.fcs,323750,0,100,0,
C3C1_4060_bimix_peacoqc.fcs,5.60E5,14.9,85.1,0,
C3C1_4555_segment_peacoqc.fcs,345000,0,100,0,
C3C1_9010_segment_peacoqc.fcs,1.71E6,100,0,0,
C3C1C05_104545_trimix_peacoqc.fcs,4.05E5,0.15,53.0,46.8,
C3C1C05_403525_trimix_peacoqc.fcs,5.60E5,56.9,11.1,32.0,
C3C05_1090_segment_peacoqc.fcs,109500,0,100,0,
C3C05_1585_segment_peacoqc.fcs,120750,0,100,0,
C3C05_2575_segment_peacoqc.fcs,120750,0,100,0,
C3C05_5050_bimix_peacoqc.fcs,235000,20.7,79.3,0,
C3C05_6535_bimix_peacoqc.fcs,288000,100,0,0,
C3C05_9010_bimix_peacoqc.fcs,1.75E6,98.3,1.71,0,
C3C05_9010_segment_peacoqc.fcs,1.05E6,100,0,0,
C3C05C1_101080_trimix_peacoqc.fcs,6.58E5,0.32,10.5,89.2,
C3C05C1_651025_trimix_peacoqc.fcs,2.13E6,67.8,7.85,24.4,
C05C1_7030_bimix_peacoqc.fcs,219000,98.4,1.62,0,
C05C1_7525_bimix_peacoqc.fcs,201630,99.3,0.70,0,
C05C3_8515_bimix_peacoqc.fcs,181500,100,0,0,
A1A3_1090_bimix_peacoqc.fcs,1.35E6,0.62,99.4,0,
A1A3_1585_bimix_peacoqc.fcs,8.61E5,0,100,0,
A1A3_7525_segment_peacoqc.fcs,208500,100,0,0,
A1A3_8020_segment_peacoqc.fcs,208500,100,0,0,
A1A3_9010_bimix_peacoqc.fcs,4.62E5,99.7,0.33,0,
A1A3A05_551035_trimix_peacoqc.fcs,5.64E5,62.4,1.75,35.9,
A1A3A05_651025_trimix_peacoqc.fcs,6.06E5,76.6,1.29,22.1,
A1A3A05_651520_trimix_peacoqc.fcs,6.79E5,74.8,3.30,21.9,
A1A05_4060_segment_peacoqc.fcs,104000,0,100,0,
A1A05_5545_segment_peacoqc.fcs,186000,100,0,0,
A3A1_1090_segment_peacoqc.fcs,315000,0,100,0,
Mean,5.15E5,43.0,49.4,7.62,
SD,5.07E5,44.2,45.4,18.5,
