,Count,1 | Freq. of Parent (%),2 | Freq. of Parent (%),3 | Freq. of Parent (%),
A31_6535_bimix_peacoqc.fcs,1.48E6,64.3,35.7,0,
A31_6535_segment_peacoqc.fcs,4.36E5,100,0,0,
A051_2080_bimix_peacoqc.fcs,4.46E5,1.36,98.6,0,
A051_2080_segment_peacoqc.fcs,304500,0,100,0,
A053_6535_bimix_peacoqc.fcs,167918,98.8,1.21,0,
A053_6535_segment_peacoqc.fcs,87000,100,0,0,
A0513_404020_trimix_peacoqc.fcs,328750,58.1,8.25,33.7,
A0531_202060_trimix_peacoqc.fcs,8.06E5,19.2,18.0,62.8,
B31_8020_bimix_peacoqc.fcs,2.25E6,79.8,20.2,0,
B31_8020_segment_peacoqc.fcs,1.79E6,100,0,0,
B051_6535_bimix_peacoqc.fcs,184967,98.7,1.29,0,
B051_6535_segment_peacoqc.fcs,162750,100,0,0,
B053_2080_bimix_peacoqc.fcs,9.57E5,17.8,82.2,0,
B053_2080_segment_peacoqc.fcs,398250,0,100,0,
B0513_202060_trimix_peacoqc.fcs,4.83E5,28.7,0.80,70.5,
B3051_404020_trimix_peacoqc.fcs,316105,64.0,10.1,25.9,
C31_5050_bimix_peacoqc.fcs,7.78E5,31.3,68.7,0,
C31_5050_segment_peacoqc.fcs,315000,0,100,0,
C051_5050_bimix_peacoqc.fcs,192000,99.8,0.21,0,
C051_5050_segment_peacoqc.fcs,106000,0,100,0,
C053_5050_bimix_peacoqc.fcs,212400,97.9,2.07,0,
C053_5050_segment_peacoqc.fcs,110000,0,100,0,
Mean,5.60E5,52.7,38.5,8.77,
SD,5.82E5,42.7,44.0,20.7,
