,Count,1 | Freq. of Parent (%),2 | Freq. of Parent (%),3 | Freq. of Parent (%),
A3A1_1090_segment_peacoqc.fcs,253750,0,100,0,
A3A1A05_106525_trimix_peacoqc.fcs,8.05E5,10.2,64.7,25.1,
A3A1A05_305020_trimix_peacoqc.fcs,7.16E5,31.4,55.3,13.3,
A3A1A05_502525_trimix_peacoqc.fcs,338000,69.0,14.6,16.4,
A3A05_1585_segment_peacoqc.fcs,123750,0,100,0,
A3A05A1_454510_trimix_peacoqc.fcs,115000,21.6,64.4,14.0,
A05A1_1090_segment_peacoqc.fcs,315000,0,100,0,
A05A1_1585_segment_peacoqc.fcs,236250,0,100,0,
A05A1_3565_bimix_peacoqc.fcs,5.23E5,34.1,65.9,0,
A05A1_4555_bimix_peacoqc.fcs,275000,61.3,38.7,0,
A05A1_5545_bimix_peacoqc.fcs,205000,35.8,64.2,0,
A05A1_7030_bimix_peacoqc.fcs,280500,68.8,31.2,0,
A05A1_9010_segment_peacoqc.fcs,103500,100,0,0,
A05A1A3_405010_trimix_peacoqc.fcs,4.85E5,39.4,55.5,5.15,
A05A3_1585_bimix_peacoqc.fcs,7.67E5,25.1,74.9,0,
A05A3_2080_bimix_peacoqc.fcs,4.41E5,31.0,69.0,0,
A05A3_3565_segment_peacoqc.fcs,205500,0,100,0,
A05A3_7525_bimix_peacoqc.fcs,231750,72.4,27.6,0,
A05A3_9010_bimix_peacoqc.fcs,178500,98.2,1.75,0,
A05A3_9010_segment_peacoqc.fcs,164500,100,0,0,
B1B3_1585_bimix_peacoqc.fcs,4.56E5,4.91,95.1,0,
B1B3_5545_bimix_peacoqc.fcs,7.31E5,61.6,38.4,0,
B1B3_6040_segment_peacoqc.fcs,292000,100,0,0,
B1B3_8020_bimix_peacoqc.fcs,199770,96.6,3.37,0,
B1B3_8515_segment_peacoqc.fcs,310500,100,0,0,
B1B3B05_101080_trimix_peacoqc.fcs,211709,11.3,9.72,78.9,
B1B3B05_302545_trimix_peacoqc.fcs,392166,30.8,24.6,44.6,
B1B3B05_504010_trimix_peacoqc.fcs,4.95E5,61.4,36.3,2.34,
B1B3B05_651025_trimix_peacoqc.fcs,7.48E5,65.4,10.2,24.3,
B1B05_7525_segment_peacoqc.fcs,307500,100,0,0,
B1B05B3_103060_trimix_peacoqc.fcs,288000,5.97,15.2,78.8,
B1B05B3_205030_trimix_peacoqc.fcs,117000,0,53.7,46.3,
B1B05B3_355510_trimix_peacoqc.fcs,296000,36.3,57.8,5.87,
B3B1_4060_segment_peacoqc.fcs,260000,0,100,0,
B3B1_5050_bimix_peacoqc.fcs,1.06E6,50.3,49.7,0,
B3B1_8020_segment_peacoqc.fcs,1.16E6,100,0,0,
B3B05_9010_segment_peacoqc.fcs,1.16E6,100,0,0,
B05B1_4060_segment_peacoqc.fcs,153750,0,100,0,
B05B1_6040_bimix_peacoqc.fcs,276550,61.7,38.3,0,
B05B1_6535_bimix_peacoqc.fcs,272250,64.3,35.7,0,
B05B1_7525_bimix_peacoqc.fcs,258578,74.8,25.2,0,
B05B1_8515_segment_peacoqc.fcs,162750,100,0,0,
B05B3_1090_segment_peacoqc.fcs,9.90E5,0,100,0,
B05B3_2080_segment_peacoqc.fcs,4.05E5,0,100,0,
B05B3_4060_segment_peacoqc.fcs,158750,0,100,0,
B05B3_6040_bimix_peacoqc.fcs,312000,60.0,40.0,0,
B05B3_7525_bimix_peacoqc.fcs,212250,73.9,26.1,0,
B05B3_9010_bimix_peacoqc.fcs,180750,89.5,10.5,0,
C1C3_1090_bimix_peacoqc.fcs,6.98E5,17.9,82.1,0,
C1C3_2575_segment_peacoqc.fcs,9.65E5,0,100,0,
C1C3_4555_segment_peacoqc.fcs,4.29E5,0,100,0,
C1C3_5050_segment_peacoqc.fcs,312500,0,100,0,
C1C3_7525_segment_peacoqc.fcs,334250,100,0,0,
C1C3C05_106030_trimix_peacoqc.fcs,318000,6.01,79.3,14.6,
C1C3C05_352045_trimix_peacoqc.fcs,4.22E5,38.5,15.5,46.0,
C1C3C05_353530_trimix_peacoqc.fcs,5.39E5,38.0,36.5,25.5,
C1C3C05_801010_trimix_peacoqc.fcs,7.39E5,79.7,10.2,10.1,
C1C05_3070_segment_peacoqc.fcs,122250,0,100,0,
C1C05_4060_bimix_peacoqc.fcs,174876,64.8,35.2,0,
C1C05_6040_bimix_peacoqc.fcs,5.11E5,65.7,34.3,0,
C1C05_9010_segment_peacoqc.fcs,6.21E5,100,0,0,
C3C1_3565_bimix_peacoqc.fcs,9.08E5,34.9,65.1,0,
C3C1_8020_bimix_peacoqc.fcs,7.08E5,74.5,25.5,0,
C3C1C05_101080_trimix_peacoqc.fcs,282750,10.2,10.4,79.4,
C3C1C05_107020_trimix_peacoqc.fcs,9.10E5,9.85,70.4,19.8,
C3C1C05_204040_trimix_peacoqc.fcs,5.51E5,19.5,40.4,40.1,
C3C1C05_301555_trimix_peacoqc.fcs,264000,30.2,11.2,58.5,
C3C05_4060_bimix_peacoqc.fcs,221000,58.1,41.9,0,
C3C05_4555_segment_peacoqc.fcs,110000,0,100,0,
C3C05_5050_bimix_peacoqc.fcs,154000,74.6,25.4,0,
