sample,eligible,minimum_live_cd45_across_displayed_workflows,complete_endpoint_vector,available_in_debris_pdf,debris_direction_match,robust_standardized_rms_distance,eligible_rank,selected,selected_debris,selection_rule,debris_selection_rule,vector_labels_json,endpoint_vector_json
1A,True,114663,True,False,False,0.9647346759518027,8,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.8384857587968106,0.9284488821986604,0.7537221700004602,0.9170375142149098,0.9762888807249571,0.9996938525593926,0.9872222523198848,0.94605638926081,0.8046960262937098,0.8678564444192105,0.9767441860465116,0.9302325581395349,0.7674418604651163,0.9302325581395349,1.0,1.0,0.9767441860465116,0.9069767441860465,0.9333333333333333,0.8444444444444444,0.8387835053225714,0.9287174516814765,0.7540540320413099,0.916850601487225,0.9925212748527867,0.9998650745463131,0.9919858982632902,0.9821609177687662,0.8252995151660857,0.9110470008414473,0.8384150104925318,0.9290211085051229,0.7615109245772127,0.9160597457104062,0.9827810736507018,1.0,0.9852045256744996,0.9656222802436901,0.8105979233798782,0.8941401121852249]"
1B,True,63715,True,False,False,1.0669732662142943,9,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.7185923690450529,0.9234317740892434,0.7355141194222893,0.9446001293382195,0.9711726147123089,1.0,0.9870458650401208,0.9432830959642318,0.6851966043863436,0.8577521530903784,0.8260869565217391,0.9782608695652174,0.782608695652174,0.9782608695652174,1.0,1.0,0.95,0.7,0.7450980392156863,0.6666666666666666,0.7183916110678794,0.923012157317991,0.734592863794665,0.9442778961333861,0.9914611172731914,1.0,0.9911993522723272,0.9777695638398987,0.7050972241351247,0.9006974094431993,0.7100044072278536,0.9224327897752314,0.7320405464962538,0.9449096518289996,0.978439113270574,1.0,0.9844179651695693,0.9611976779712802,0.6839312247930376,0.8843133092761621]"
2A,True,148461,True,False,False,0.8139211040825707,5,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.7847953335230275,0.9080118694362018,0.8033159221169871,0.9624456322913703,0.9835140693950065,1.0,0.972491389786114,0.9347575603029787,0.7491948001552192,0.8407159487776484,0.7798783036834038,0.9042686608760276,0.8001765061080404,0.9627943703841331,0.9887521347388257,1.0,0.8725704188753768,0.8330734850847106,0.6720300992635286,0.7514008965738073,0.7854670860098846,0.9084589136743938,0.8038760913650107,0.9625809036927299,0.9916296182738004,1.0,0.9904831905429099,0.9747417905076908,0.77075873573833,0.8834102892549673,0.7767722473604827,0.9049773755656109,0.806184012066365,0.9600301659125189,0.9932497589199615,1.0,0.9563602599814299,0.9387186629526463,0.7426099495313626,0.8536409516943042]"
3A,True,40129,True,False,False,1.6501039289549149,21,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.7274812010026132,0.9548646294419854,0.8159564823209429,0.8060903418484348,0.9647782728622958,1.0,0.9825922013061852,0.9635276603918556,0.6868925927790926,0.9144972052973462,0.7268680062567682,0.9565635904223319,0.8150643725183492,0.8024305137769222,0.9851598173515982,1.0,0.9526888503390633,0.9377069862797666,0.6809062218214608,0.8950631199278629,0.7266411391098985,0.9542338293628047,0.8153073624836631,0.8064109325201202,0.9785703257681025,1.0,0.9918004569211029,0.9822864832723062,0.7039315859617947,0.93500666370502,0.7358078602620087,0.9475982532751092,0.8231441048034934,0.8056768558951966,0.9711815561959655,1.0,0.9768115942028985,0.9420289855072463,0.6905737704918032,0.889344262295082]"
3B,True,57043,True,False,False,0.6710236302700799,3,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.7902313624678663,0.9326207549722636,0.8271817074820728,0.8796238668651062,0.9593941982325306,1.0,0.9766889632107023,0.9538963210702341,0.7374122519064694,0.8819251552951871,0.7870516185476816,0.931583552055993,0.8271216097987751,0.8805774278215223,0.9791031780583369,1.0,0.9317452097358881,0.9100983946141895,0.7155583837098314,0.8454502068087815,0.7902614527481356,0.9325497319105087,0.8262221213126779,0.8792811359309779,0.9798181030749242,1.0,0.9899361162159797,0.9798941104401855,0.7653974322107008,0.9125124752609233,0.8301043219076006,0.9359165424739195,0.8047690014903129,0.886736214605067,0.9858407079646018,1.0,0.9789103690685413,0.9525483304042179,0.8014388489208633,0.8935251798561151]"
4A,True,36429,True,False,False,1.1739784496404138,15,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.872589054581252,0.886790389032705,0.6641083603748131,0.8613957049622635,0.9579897526218878,1.0,0.9888236995413792,0.9400694128827005,0.8232006191418006,0.8113853297790008,0.8784602076124568,0.8961937716262975,0.6652249134948097,0.8620242214532872,0.9912152269399708,1.0,0.9407132931912923,0.8795738767948124,0.8176328502415459,0.784219001610306,0.8716311902220092,0.8854223403559991,0.6641539031351446,0.8617616941545567,0.9925324997519103,1.0,0.9932964222757404,0.986592844551481,0.8584640473789241,0.8719824903976139,0.8705882352941177,0.8705882352941177,0.6705882352941176,0.8352941176470589,1.0,1.0,0.961038961038961,0.961038961038961,0.8314606741573034,0.8314606741573034]"
5A,True,66590,True,False,False,1.075878850263152,11,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.8313818285667659,0.9438721390396149,0.679184855779038,0.9403125127493779,0.9354142758778976,1.0,0.957095554564028,0.9799215649437569,0.7406209396778092,0.9254763354200929,0.8352835283528353,0.9504950495049505,0.6822682268226823,0.9261926192619262,0.9707112970711297,1.0,0.9080234833659491,0.9393346379647749,0.7324388318863457,0.8926598263614838,0.8317095434138708,0.9442633333954286,0.6807436523164621,0.9411896201635588,0.981662672324707,1.0,0.9840209821035,0.9911619501013841,0.8035238643726154,0.9359297386797207,0.8306081981601274,0.9429834541494653,0.681565517017196,0.9417156974287293,0.9782542113323124,1.0,0.983487933489858,0.9914168045879681,0.7991493088134108,0.9347907674985926]"
5B,True,39125,True,False,False,1.1983949205761741,16,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.71893930895221,0.8996101637873009,0.5486453892752973,0.9402204397576845,0.9399567321795248,1.0,0.9628162031211853,0.9845255309958872,0.644706562881179,0.8860078216365077,0.7272727272727273,0.8987603305785123,0.5371900826446281,0.9431818181818182,0.9832402234636871,1.0,0.8968152866242038,0.9426751592356688,0.64,0.8536363636363636,0.7200948577134298,0.9014228657014478,0.5526460309535697,0.9406390414378433,0.9852453977253322,1.0,0.9900809994508512,0.9944741900054915,0.7025743442363428,0.8962955746608539,0.720258678762294,0.9018727264561908,0.5542731396236583,0.9395068936093771,0.9827205882352941,1.0,0.9895113524185587,0.9938302073050346,0.7008390141583639,0.8964778884810348]"
6A,True,113096,True,False,True,1.7658834868892628,23,False,True,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.7502312643840046,0.910330235937685,0.7982126223940745,0.9423743570209946,0.9823630495829666,0.4740181902007628,0.9805670489107925,0.9505537031381392,0.721988454690513,0.40546584769309435,0.7499563242487771,0.9084119496855346,0.7962089447938504,0.9432215234102026,0.9897970947659672,0.5160249020059949,0.9339171108452083,0.8939410420972479,0.6915981955856292,0.4143708715965845,0.7497375323073869,0.9104632029839236,0.7984477183444875,0.9425625245765203,0.9866956067366052,0.47226576630893524,0.9860812629295628,0.9702494526903533,0.7295177880882774,0.4170403087701572,0.7578509269769201,0.9067347710934545,0.8053348467650397,0.9371925841846387,0.9935515873015873,0.6788194444444444,0.9445885404385758,0.9132280122612592,0.7142093064717419,0.558566589409877]"
6B,True,107188,True,False,True,2.1213019893719522,28,False,False,minimum robust-standardized RMS distance from cohort-median endpoint vector among eligible samples supplied in the FlowJo debris PDF; scale=1.4826*MAD with SD fallback,minimum full-vector robust-standardized RMS distance among eligible samples with FlowMOP debris-controlled Live CD45+ retention below Nadia Manual,"[""B|live_cd45|count|time|Nadia Manual"",""B|live_cd45|count|time|FlowMOP"",""B|live_cd45|count|time|PeacoQC"",""B|live_cd45|count|time|FlowCut"",""D|live_cd45|count|debris|Nadia Manual"",""D|live_cd45|count|debris|FlowMOP"",""D|live_cd45|count|doublet|Nadia Manual"",""D|live_cd45|count|doublet|FlowMOP"",""D|live_cd45|count|all steps|Nadia Manual"",""D|live_cd45|count|all steps|FlowMOP"",""B|b_cells|count|time|Nadia Manual"",""B|b_cells|count|time|FlowMOP"",""B|b_cells|count|time|PeacoQC"",""B|b_cells|count|time|FlowCut"",""D|b_cells|count|debris|Nadia Manual"",""D|b_cells|count|debris|FlowMOP"",""D|b_cells|count|doublet|Nadia Manual"",""D|b_cells|count|doublet|FlowMOP"",""D|b_cells|count|all steps|Nadia Manual"",""D|b_cells|count|all steps|FlowMOP"",""B|t_cells|count|time|Nadia Manual"",""B|t_cells|count|time|FlowMOP"",""B|t_cells|count|time|PeacoQC"",""B|t_cells|count|time|FlowCut"",""D|t_cells|count|debris|Nadia Manual"",""D|t_cells|count|debris|FlowMOP"",""D|t_cells|count|doublet|Nadia Manual"",""D|t_cells|count|doublet|FlowMOP"",""D|t_cells|count|all steps|Nadia Manual"",""D|t_cells|count|all steps|FlowMOP"",""B|nkt_cells|count|time|Nadia Manual"",""B|nkt_cells|count|time|FlowMOP"",""B|nkt_cells|count|time|PeacoQC"",""B|nkt_cells|count|time|FlowCut"",""D|nkt_cells|count|debris|Nadia Manual"",""D|nkt_cells|count|debris|FlowMOP"",""D|nkt_cells|count|doublet|Nadia Manual"",""D|nkt_cells|count|doublet|FlowMOP"",""D|nkt_cells|count|all steps|Nadia Manual"",""D|nkt_cells|count|all steps|FlowMOP""]","[0.647316944637933,0.9414473289452745,0.8594151515863016,0.923488115456559,0.9795464773830861,0.4231561826407586,0.9727226040151636,0.9449238091131122,0.6158155072582466,0.37472109917328705,0.6450785865566826,0.9374651655333853,0.8597703711960762,0.922230892133913,0.9905288982712387,0.483140297826211,0.9162928168047711,0.8770253866047395,0.5839163191174492,0.3956343333781784,0.6474399513906973,0.9418114405466067,0.8595879369567104,0.9232946442964671,0.9864068315353951,0.4211190039863218,0.9797341039377762,0.9643329611664149,0.6250909145328565,0.38431630774756437,0.6486570893191755,0.9472204871955028,0.8575890068707058,0.9250468457214241,0.9914081145584726,0.6229116945107399,0.9261984392419175,0.8987736900780379,0.5960683024824222,0.53350552446549]"
