setting,slug,short,long,sensitivity_macro,specificity_macro,sensitivity_file_weighted,specificity_file_weighted,balanced_mean,harmonic_mean,distance_to_ideal,pareto_frontier,balanced_rank
"0,0",0_0,0.0,0.0,0.8020568993495868,0.7080687095450577,0.8152348384607161,0.713282538034947,0.7550628044473222,0.7521379550935,0.35271142516480447,True,1
"0.01,0.05",001_005,0.01,0.05,0.8212232752211418,0.6810543886036612,0.8366448675096303,0.6834830480549438,0.7511388319124015,0.7445996556839665,0.3656329038142492,True,2
"0.02,0.05",002_005,0.02,0.05,0.8227785889599963,0.6793733929361471,0.8384226323933661,0.6815432110995729,0.7510759909480718,0.744230794691472,0.3663452602235878,True,3
"0.01,0.02",001_002,0.01,0.02,0.8111722838124727,0.6885434730137708,0.8256248877417877,0.691403022848784,0.7498578784131218,0.7448443199539749,0.3642266802458615,True,4
"0.02,0.09",002_009,0.02,0.09,0.8276035062402545,0.6708650012972212,0.8438734758683367,0.6722077500794224,0.7492342537687378,0.7410368979990962,0.3715513402367595,True,5
"0.01,0.09",001_009,0.01,0.09,0.8257248942566728,0.6707324187868026,0.8417771160765009,0.6719668976968755,0.7482286565217378,0.7402021437562577,0.37254389341369887,False,6
"0.05,0.09",005_009,0.05,0.09,0.8187630969009608,0.6675854344541247,0.834619591863994,0.6681702452678266,0.7431742656775427,0.7354860670011351,0.37861095920744764,False,7
"0.02,0.2",002_02,0.02,0.2,0.8247585023135989,0.6478874483164297,0.840446013361721,0.6475253752504483,0.7363229753150143,0.7257014916757575,0.39331009593511307,False,8
"0.05,0.2",005_02,0.05,0.2,0.8197143955397214,0.6520089450015519,0.8353618308857695,0.6521085614465426,0.7358616702706366,0.7263065054630082,0.39191921812350683,False,9
"0.01,0.2",001_02,0.01,0.2,0.8231181761305894,0.6476856241222969,0.8386554871641195,0.6475714902362028,0.7354019001264431,0.7249393964604713,0.3942240467874387,False,10
"0.1,0.2",01_02,0.1,0.2,0.8138360479513244,0.641536354512392,0.8299548224482959,0.6412568929128315,0.7276862012318581,0.7174870301094382,0.4039222724468745,False,11
"0.05,0.34",005_034,0.05,0.34,0.8193695619719561,0.6343583561071123,0.8347242055179592,0.6333848918313703,0.7268639590395343,0.7150910729754096,0.4078249218609577,False,12
"0.02,0.34",002_034,0.02,0.34,0.8199207399090248,0.6285641390282269,0.8347775671861847,0.6268686471169725,0.7242424394686259,0.7116025599527558,0.41278703798781696,False,13
"0.1,0.34",01_034,0.1,0.34,0.8133768941297762,0.6250491750993242,0.8291698923267977,0.6235877395297711,0.7192130346145502,0.706884514395843,0.41882729703106264,False,14
"0.1,0.5",01_05,0.1,0.5,0.8139456546046882,0.622890225285342,0.8297897429483068,0.6213159382729886,0.718417939945015,0.705715662119383,0.42050921705215705,False,15
"0.1,0.9",01_09,0.1,0.9,0.813940612893212,0.6226027990320605,0.8297848530511116,0.6210115295980804,0.7182717059626362,0.7055292581155158,0.42076922752143947,False,16
"0.1,1",01_10,0.1,1.0,0.813940612893212,0.6226027990320605,0.8297848530511116,0.6210115295980804,0.7182717059626362,0.7055292581155158,0.42076922752143947,False,17
"0.2,0.9",02_09,0.2,0.9,0.8006956026851569,0.6142413486420923,0.8157056018387268,0.6120772550080459,0.7074684756636247,0.6951834092448894,0.43420269447172316,False,18
"0.4,0.9",04_09,0.4,0.9,0.7811698057302854,0.613958806315226,0.794814731089075,0.6105980772013591,0.6975643060227557,0.6875438971213895,0.4437504446709729,False,19
