stage,method,n,retention_pct_raw_mean,zombie_low_frequency_pct_mean,zombie_low_recovery_pct_mean,zombie_high_carryover_pct_mean,zombie_low_selectivity_ratio_mean,retention_relative_manual_pct_median,retention_relative_manual_pct_min,retention_relative_manual_pct_max,selectivity_relative_manual_pct_median,selectivity_relative_manual_pct_min,selectivity_relative_manual_pct_max,samples_selective_for_zombie_low_vs_manual
Time gate only,Manual,3,91.2859124584295,56.08182010919677,97.26135834280034,82.629169353985,1.1832973942730718,100.0,100.0,100.0,100.0,100.0,100.0,0
Time gate only,FlowMOP,3,82.21346110264666,52.60503073481821,81.92947159733679,82.3193747508303,0.9949692835988445,92.23534558180229,82.21869345249085,95.90096524260919,82.44046745620022,78.76700819207575,92.22991302444991,0
Time gate only,FlowCut,3,91.75411652670032,52.917901014712356,92.14939550299205,91.41242190812102,1.0079785882433354,101.93877174194026,95.22572826039908,104.47912760904886,84.32432044334631,78.69867264413178,93.8398748752314,0
Time gate only,PeacoQC,3,99.21807667713864,52.76301814321685,99.27501785830248,99.17224393191451,1.001053910693021,108.8862918235727,107.47811957605525,109.75268716410449,83.63763796063364,78.39183138563918,93.03755013199347,0
Time gate + matched manual debris/singlet,Manual,3,48.13292631712569,48.833547078667266,43.90649073044481,45.638462067245676,0.9424148036314396,100.0,100.0,100.0,100.0,99.99999999999999,100.0,0
Time gate + matched manual debris/singlet,FlowMOP,3,40.995742619272754,48.790561415985714,37.77908341638331,38.28419633327563,0.9445064040808369,83.5034138462668,77.8529946200164,90.2563152609463,100.2054684343294,98.32139146077522,100.96208699294439,2
Time gate + matched manual debris/singlet,FlowCut,3,44.79988113292561,48.940639225193365,40.687102779893756,42.672457888569845,0.9485543994018734,94.93796343880773,89.64063215981437,97.29753803399011,100.7142209993466,100.29175113043158,100.7567323262096,3
Time gate + matched manual debris/singlet,PeacoQC,3,48.86252458982846,48.8151993440271,44.564304445882804,46.28903589299282,0.9418787659017859,102.20339478789889,99.39431759782688,102.38714504578331,99.89804646644353,99.81801752110371,100.0151054291221,1
Official complete workflow,Manual,3,48.13292631712569,48.833547078667266,43.90649073044481,45.638462067245676,0.9424148036314396,100.0,100.0,100.0,100.0,99.99999999999999,100.0,0
Official complete workflow,FlowMOP,3,55.81801601052848,54.827657890409284,56.32658800158089,48.913820631013316,1.2633912962734986,137.78993123597107,77.29820901051976,163.1258718155789,124.69060094992923,119.30491445161734,162.50975672558084,3
