sample_group,method_family,method,n,retention_mean,retention_sd,live_frequency_mean,live_frequency_sd,live_recovery_mean,live_recovery_sd,dead_removal_mean,dead_removal_sd
NT,Raw,Raw,3,100.0,0.0,90.71043103787547,7.920027273570162,100.0,0.0,0.0,0.0
NT,Manual,Manual: debris,3,58.63153773210494,21.172537392109497,90.5873926671408,7.630913198514508,58.62574119200272,21.320619667788232,39.13717043592461,22.313296367296815
NT,Manual,Manual: doublet,3,70.794166403539,24.554389309977132,93.01135761354652,6.947958438993015,72.32989405261347,23.995737807565884,43.58009858858507,28.857393735306985
NT,Manual,Manual: time,3,95.95812360056289,2.7312068393498516,92.03665701787433,8.106620696835513,97.32605294655917,0.7398118466141302,18.164720238438417,22.654740913261566
NT,Manual,Manual: all 3,3,54.445027368476325,21.561981891516858,92.19710965543693,7.452724240544555,55.11864797427936,21.083216234943393,51.58083969924176,25.445794530379146
T,Raw,Raw,3,100.0,0.0,52.73701485116609,22.666863244246546,100.0,0.0,0.0,0.0
T,Manual,Manual: debris,3,56.37300887251907,15.707631110480495,45.75151486589385,33.70178870771194,46.9677544375129,28.1402467792959,42.724173811556,5.3491894213455575
T,Manual,Manual: doublet,3,62.3445382417934,14.472963810421854,53.45166453982747,26.664411553319717,62.86858600368485,20.46962612701283,42.435746457378634,5.445289538139789
T,Manual,Manual: time,3,91.2859124584295,2.088442426872517,56.08182010919677,23.421980990143545,97.26135834280034,0.8423924676314709,17.370830646014994,7.602963226477354
T,Manual,Manual: all 3,3,48.13303673920304,17.170493205675722,48.833410190524944,31.564566784084782,43.90649073044481,25.489118088586796,54.36102789781693,3.751123319622995
T,FlowMOP,FlowMOP: debris,3,80.07455416958659,12.665820091593613,48.70309466625792,29.18144822052611,70.00842326992513,16.169529230987564,16.080477011926146,20.98956170910465
T,FlowMOP,FlowMOP: doublet,3,88.85088722933567,5.2912070748897255,57.80839969318936,21.72627273712089,98.38365758197443,2.3277224296572223,21.381005440188087,8.919478629670316
T,FlowMOP,FlowMOP: time,3,82.21346110264666,5.789542598148334,52.60503073481821,22.839232639048255,81.92947159733679,6.057858780305686,17.68062524916969,5.507957764516757
T,FlowMOP,FlowMOP: all 3,3,56.59685091313926,4.721907901080469,54.09171096736253,29.644220119752788,56.391209700336766,14.768757820941719,48.95304968537422,13.302820015869315
T,FlowMOP,FlowMOP: final,3,55.81801601052848,5.167182043342001,54.827657890409284,30.215610717282093,56.32658800158089,14.771830483989,51.0861793689867,15.145683227955782
