threshold,sample,method,live_frequency,live_recovery,zombie_high_removal
8000,trim_LB202_T.fcs,Raw,38.821276654897275,100.0,0.0
8000,trim_LB202_T.fcs,Manual: all 3,36.65571543939505,35.756295374589335,60.79082951324392
8000,trim_LB202_T.fcs,FlowMOP: all 3,43.46418408729358,69.46083126695252,42.667416483472785
10000,trim_LB202_T.fcs,Raw,41.95244516111096,100.0,0.0
10000,trim_LB202_T.fcs,Manual: all 3,37.62205418104398,33.959857189009185,59.30624487376746
10000,trim_LB202_T.fcs,FlowMOP: all 3,47.16732764222177,69.75289722413207,43.532715092227285
12000,trim_LB202_T.fcs,Raw,44.59569351385915,100.0,0.0
12000,trim_LB202_T.fcs,Manual: all 3,38.60858233609867,32.78472628092733,58.03910253595689
12000,trim_LB202_T.fcs,FlowMOP: all 3,50.326566736125116,70.01363724917202,44.376423065101896
15000,trim_LB202_T.fcs,Raw,47.96248158136173,100.0,0.0
15000,trim_LB202_T.fcs,Manual: all 3,40.238418618309964,31.770195561287704,56.51032797066896
15000,trim_LB202_T.fcs,FlowMOP: all 3,54.3288297371782,70.27598849383753,45.54925570492657
20000,trim_LB202_T.fcs,Raw,52.48026078011621,100.0,0.0
20000,trim_LB202_T.fcs,Manual: all 3,43.777072167975916,31.588671174004887,55.19566473354347
20000,trim_LB202_T.fcs,FlowMOP: all 3,59.821648629876094,70.71973936018753,47.543860932140795
8000,trim_LB236_T.fcs,Raw,27.831225948323254,100.0,0.0
8000,trim_LB236_T.fcs,Manual: all 3,22.590586810132898,31.31111111111111,58.624071605408496
8000,trim_LB236_T.fcs,FlowMOP: all 3,22.0137601868542,42.81975308641975,41.50066653970672
10000,trim_LB236_T.fcs,Raw,31.933754810335348,100.0,0.0
10000,trim_LB236_T.fcs,Manual: all 3,23.1321480742509,27.942758769098344,56.43715295305401
10000,trim_LB236_T.fcs,FlowMOP: all 3,24.22884561679657,41.0738110608995,39.736496718828874
12000,trim_LB236_T.fcs,Raw,35.26525563496427,100.0,0.0
12000,trim_LB236_T.fcs,Manual: all 3,23.648769016995047,25.86811645036829,54.5030891063884
12000,trim_LB236_T.fcs,FlowMOP: all 3,26.509939323161287,40.69527261389766,38.54270609965818
15000,trim_LB236_T.fcs,Raw,39.31280923584387,100.0,0.0
15000,trim_LB236_T.fcs,Manual: all 3,24.484269783019204,24.02461194238568,51.99972823625328
15000,trim_LB236_T.fcs,FlowMOP: all 3,29.82558582345325,41.07117885610404,37.401485641815384
20000,trim_LB236_T.fcs,Raw,44.44956019791094,100.0,0.0
20000,trim_LB236_T.fcs,Manual: all 3,26.392204368119142,22.9040087812872,48.886029912045224
20000,trim_LB236_T.fcs,FlowMOP: all 3,35.01104369240143,42.640260965013994,36.6663780199661
8000,trim_LB262_T.fcs,Raw,73.87535114220597,100.0,0.0
8000,trim_LB262_T.fcs,Manual: all 3,80.40499368720721,73.96203740656206,49.02932934329153
8000,trim_LB262_T.fcs,FlowMOP: all 3,81.55345204700765,59.186400548856774,62.14321037749008
10000,trim_LB262_T.fcs,Raw,76.34957862935283,100.0,0.0
10000,trim_LB262_T.fcs,Manual: all 3,82.54451859470895,73.46948515693472,49.84452474997899
10000,trim_LB262_T.fcs,FlowMOP: all 3,83.761106236793,58.81862910993674,63.18738269322352
12000,trim_LB262_T.fcs,Raw,78.35009540467483,100.0,0.0
12000,trim_LB262_T.fcs,Manual: all 3,84.24287921848112,73.06662946003881,50.5408920511055
12000,trim_LB262_T.fcs,FlowMOP: all 3,85.43862684280118,58.46471923794061,63.94001989136256
15000,trim_LB262_T.fcs,Raw,80.68220967827423,100.0,0.0
15000,trim_LB262_T.fcs,Manual: all 3,86.23323697590415,72.63104735236516,51.571636800137185
15000,trim_LB262_T.fcs,FlowMOP: all 3,87.26011146398429,57.98519443087245,64.64203035239646
20000,trim_LB262_T.fcs,Raw,83.54931891662692,100.0,0.0
20000,trim_LB262_T.fcs,Manual: all 3,88.72471836169622,72.16508334258481,53.42327829238824
20000,trim_LB262_T.fcs,FlowMOP: all 3,89.41586446374949,57.378713146083456,65.50543697140556
