file,scope,sample,x_channel,y_channel,cofactor,x_min_transformed,x_max_transformed,y_min_transformed,y_max_transformed,image_width_px,image_height_px,axes_left_px,axes_right_px,axes_top_px,axes_bottom_px,parent_gate
figs_data/manual_marker_gating/pooled_equal_weight/pair__FSC_A__vs__Zombie_UV_A.png,pooled_equal_weight,pooled,FSC-A,Zombie UV-A,10000.0,4.002320761957797,6.583067788853826,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/pooled_equal_weight/pair__BUV395_A__vs__Zombie_UV_A.png,pooled_equal_weight,pooled,BUV395-A,Zombie UV-A,10000.0,-3.518072384581301,5.205775293636291,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/pooled_equal_weight/pair__BV510_A__vs__Zombie_UV_A.png,pooled_equal_weight,pooled,BV510-A,Zombie UV-A,10000.0,-4.999025165807637,4.814283528796189,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/pooled_equal_weight/pair__PE_Dazzle594_A__vs__Zombie_UV_A.png,pooled_equal_weight,pooled,PE-Dazzle594-A,Zombie UV-A,10000.0,-3.286311430213356,5.483694548692148,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/pooled_equal_weight/pair__BUV395_A__vs__BV510_A.png,pooled_equal_weight,pooled,BUV395-A,BV510-A,10000.0,-3.518072384581301,5.205775293636291,-4.999025165807637,4.814283528796189,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/pooled_equal_weight/pair__BUV395_A__vs__PE_Dazzle594_A.png,pooled_equal_weight,pooled,BUV395-A,PE-Dazzle594-A,10000.0,-3.518072384581301,5.205775293636291,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/pooled_equal_weight/pair__BV510_A__vs__PE_Dazzle594_A.png,pooled_equal_weight,pooled,BV510-A,PE-Dazzle594-A,10000.0,-4.999025165807637,4.814283528796189,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB180_NT/pair__FSC_A__vs__Zombie_UV_A.png,sample,trim_LB180_NT.fcs,FSC-A,Zombie UV-A,10000.0,4.002320761957797,6.583067788853826,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB180_NT/pair__BUV395_A__vs__Zombie_UV_A.png,sample,trim_LB180_NT.fcs,BUV395-A,Zombie UV-A,10000.0,-3.518072384581301,5.205775293636291,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB180_NT/pair__BV510_A__vs__Zombie_UV_A.png,sample,trim_LB180_NT.fcs,BV510-A,Zombie UV-A,10000.0,-4.999025165807637,4.814283528796189,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB180_NT/pair__PE_Dazzle594_A__vs__Zombie_UV_A.png,sample,trim_LB180_NT.fcs,PE-Dazzle594-A,Zombie UV-A,10000.0,-3.286311430213356,5.483694548692148,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB180_NT/pair__BUV395_A__vs__BV510_A.png,sample,trim_LB180_NT.fcs,BUV395-A,BV510-A,10000.0,-3.518072384581301,5.205775293636291,-4.999025165807637,4.814283528796189,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB180_NT/pair__BUV395_A__vs__PE_Dazzle594_A.png,sample,trim_LB180_NT.fcs,BUV395-A,PE-Dazzle594-A,10000.0,-3.518072384581301,5.205775293636291,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB180_NT/pair__BV510_A__vs__PE_Dazzle594_A.png,sample,trim_LB180_NT.fcs,BV510-A,PE-Dazzle594-A,10000.0,-4.999025165807637,4.814283528796189,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB192_NT/pair__FSC_A__vs__Zombie_UV_A.png,sample,trim_LB192_NT.fcs,FSC-A,Zombie UV-A,10000.0,4.002320761957797,6.583067788853826,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB192_NT/pair__BUV395_A__vs__Zombie_UV_A.png,sample,trim_LB192_NT.fcs,BUV395-A,Zombie UV-A,10000.0,-3.518072384581301,5.205775293636291,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB192_NT/pair__BV510_A__vs__Zombie_UV_A.png,sample,trim_LB192_NT.fcs,BV510-A,Zombie UV-A,10000.0,-4.999025165807637,4.814283528796189,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB192_NT/pair__PE_Dazzle594_A__vs__Zombie_UV_A.png,sample,trim_LB192_NT.fcs,PE-Dazzle594-A,Zombie UV-A,10000.0,-3.286311430213356,5.483694548692148,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB192_NT/pair__BUV395_A__vs__BV510_A.png,sample,trim_LB192_NT.fcs,BUV395-A,BV510-A,10000.0,-3.518072384581301,5.205775293636291,-4.999025165807637,4.814283528796189,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB192_NT/pair__BUV395_A__vs__PE_Dazzle594_A.png,sample,trim_LB192_NT.fcs,BUV395-A,PE-Dazzle594-A,10000.0,-3.518072384581301,5.205775293636291,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB192_NT/pair__BV510_A__vs__PE_Dazzle594_A.png,sample,trim_LB192_NT.fcs,BV510-A,PE-Dazzle594-A,10000.0,-4.999025165807637,4.814283528796189,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB200_NT/pair__FSC_A__vs__Zombie_UV_A.png,sample,trim_LB200_NT.fcs,FSC-A,Zombie UV-A,10000.0,4.002320761957797,6.583067788853826,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB200_NT/pair__BUV395_A__vs__Zombie_UV_A.png,sample,trim_LB200_NT.fcs,BUV395-A,Zombie UV-A,10000.0,-3.518072384581301,5.205775293636291,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB200_NT/pair__BV510_A__vs__Zombie_UV_A.png,sample,trim_LB200_NT.fcs,BV510-A,Zombie UV-A,10000.0,-4.999025165807637,4.814283528796189,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB200_NT/pair__PE_Dazzle594_A__vs__Zombie_UV_A.png,sample,trim_LB200_NT.fcs,PE-Dazzle594-A,Zombie UV-A,10000.0,-3.286311430213356,5.483694548692148,-3.843106788477502,5.58817175080018,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB200_NT/pair__BUV395_A__vs__BV510_A.png,sample,trim_LB200_NT.fcs,BUV395-A,BV510-A,10000.0,-3.518072384581301,5.205775293636291,-4.999025165807637,4.814283528796189,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB200_NT/pair__BUV395_A__vs__PE_Dazzle594_A.png,sample,trim_LB200_NT.fcs,BUV395-A,PE-Dazzle594-A,10000.0,-3.518072384581301,5.205775293636291,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
figs_data/manual_marker_gating/samples/trim_LB200_NT/pair__BV510_A__vs__PE_Dazzle594_A.png,sample,trim_LB200_NT.fcs,BV510-A,PE-Dazzle594-A,10000.0,-4.999025165807637,4.814283528796189,-3.286311430213356,5.483694548692148,1600,1440,208.0,1544.0,172.79999999999995,1252.8,"Time, SSC-A subset/cells/Single Cells"
