algorithm,base_file,mix_method,variants,retained_count_range,sensitivity_range,specificity_range,balanced_score_range
flowmop,A05A1A3_405010_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,A05A1_1090_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,A05A1_3565_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,A05A3_1585_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,A1A05A3_501535_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,A1A3A05_106525_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,A1A3_5050_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,A1A3_5545_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,A1A3_6040_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,A3A1A05_305020_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,A3A1A05_502525_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,B05B3_1090_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,B1B05B3_103060_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,B1B05_7525_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,B1B3B05_504010_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,B1B3B05_651025_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,B1B3_1585_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,B1B3_5545_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,B1B3_8515_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,B3B05_9010_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,B3B1_5050_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,B3B1_8020_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,C05C3_1585_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,C1C05_6040_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,C1C05_9010_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,C1C3C05_353530_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,C1C3_1090_bimix.fcs,bimix,3,0,0.0,0.0,0.0
flowmop,C1C3_2575_segment.fcs,segment,3,0,0.0,0.0,0.0
flowmop,C3C1C05_107020_trimix.fcs,trimix,3,0,0.0,0.0,0.0
flowmop,C3C1_8020_bimix.fcs,bimix,3,0,0.0,0.0,0.0
