Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
21	:	1786204909.102	    53.107	0	454	0	0	run_one B3B1_8020_segment.fcs
20	:	1786204909.099	    53.480	0	482	0	0	run_one C1C3C05_353530_trimix.fcs
27	:	1786204909.124	    53.654	0	454	0	0	run_one A1A3_5545_segment.fcs
25	:	1786204909.117	    54.162	0	461	0	0	run_one C05C3_1585_segment.fcs
3	:	1786204909.038	    54.365	0	440	0	0	run_one C1C3_1090_bimix.fcs
24	:	1786204909.114	    54.375	0	454	0	0	run_one C1C3_2575_segment.fcs
1	:	1786204909.032	    54.480	0	440	0	0	run_one B1B3_1585_bimix.fcs
26	:	1786204909.120	    54.393	0	461	0	0	run_one A05A1_1090_segment.fcs
22	:	1786204909.106	    54.463	0	461	0	0	run_one B05B3_1090_segment.fcs
2	:	1786204909.034	    54.805	0	440	0	0	run_one C3C1_8020_bimix.fcs
9	:	1786204909.059	    54.958	0	440	0	0	run_one B1B3_5545_bimix.fcs
14	:	1786204909.077	    54.981	0	482	0	0	run_one A3A1A05_502525_trimix.fcs
18	:	1786204909.091	    54.967	0	482	0	0	run_one B1B05B3_103060_trimix.fcs
10	:	1786204909.063	    55.085	0	447	0	0	run_one C1C05_6040_bimix.fcs
29	:	1786204909.132	    55.018	0	454	0	0	run_one B1B3_8515_segment.fcs
7	:	1786204909.052	    55.109	0	440	0	0	run_one A1A3_6040_bimix.fcs
16	:	1786204909.085	    55.135	0	482	0	0	run_one A05A1A3_405010_trimix.fcs
23	:	1786204909.110	    55.111	0	461	0	0	run_one B3B05_9010_segment.fcs
4	:	1786204909.041	    55.315	0	447	0	0	run_one A05A3_1585_bimix.fcs
11	:	1786204909.067	    55.411	0	482	0	0	run_one B1B3B05_504010_trimix.fcs
13	:	1786204909.074	    55.470	0	482	0	0	run_one A3A1A05_305020_trimix.fcs
30	:	1786204909.136	    55.469	0	461	0	0	run_one C1C05_9010_segment.fcs
19	:	1786204909.095	    55.569	0	482	0	0	run_one B1B3B05_651025_trimix.fcs
28	:	1786204909.128	    55.558	0	461	0	0	run_one B1B05_7525_segment.fcs
5	:	1786204909.044	    55.684	0	440	0	0	run_one B3B1_5050_bimix.fcs
15	:	1786204909.081	    55.657	0	482	0	0	run_one C3C1C05_107020_trimix.fcs
12	:	1786204909.070	    55.671	0	482	0	0	run_one A1A05A3_501535_trimix.fcs
17	:	1786204909.088	    55.898	0	482	0	0	run_one A1A3A05_106525_trimix.fcs
6	:	1786204909.048	    55.939	0	447	0	0	run_one A05A1_3565_bimix.fcs
8	:	1786204909.056	    56.164	0	440	0	0	run_one A1A3_5050_bimix.fcs
