algorithm,variant,base_file,input_fcs,status,mix_method,proportions,target_source_ids,retained_count,removed_count,retained_fraction,removed_fraction,sensitivity,specificity,balanced_score,retained_target_count,removed_nontarget_count,time_start,time_end,time_range,time_delta_median,time_delta_p99,time_delta_max,source_transition_count,source_counts,source_multipliers,event_start_index,event_end_index,exit_code,stderr_tail,raw_retained_fraction,delta_retained_fraction_vs_raw,raw_removed_fraction,delta_removed_fraction_vs_raw,raw_sensitivity,delta_sensitivity_vs_raw,raw_specificity,delta_specificity_vs_raw,raw_balanced_score,delta_balanced_score_vs_raw
flowmop,raw,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_raw.fcs,ok,trimix,"40,50,10",2,462600,37400,0.9252,0.0748,0.5305123216601816,0.6169786096256684,0.5737454656429251,245415,23075,-0.0008335157181136,5000.0,5000.000833515718,0.010009765625,0.01678466796875,0.021484375,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.9252,0.0,0.0748,0.0,0.5305123216601816,0.0,0.6169786096256684,0.0,0.5737454656429251,0.0
peacoqc,raw,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_raw.fcs,ok,trimix,"40,50,10",2,433750,66250,0.8675,0.1325,0.5234028818443804,0.5062037735849056,0.5148033277146431,227026,33536,-0.0008335157181136,5000.0,5000.000833515718,0.010009765625,0.01678466796875,0.021484375,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.8675,0.0,0.1325,0.0,0.5234028818443804,0.0,0.5062037735849056,0.0,0.5148033277146431,0.0
flowcut,raw,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_raw.fcs,ok,trimix,"40,50,10",2,448000,52000,0.896,0.104,0.5590736607142858,0.8216346153846154,0.6903541380494506,250465,42725,-0.0008335157181136,5000.0,5000.000833515718,0.010009765625,0.01678466796875,0.021484375,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.896,0.0,0.104,0.0,0.5590736607142858,0.0,0.8216346153846154,0.0,0.6903541380494506,0.0
flowmop,source_timewarp,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_source_timewarp.fcs,ok,trimix,"40,50,10",2,462600,37400,0.9252,0.0748,0.5305123216601816,0.6169786096256684,0.5737454656429251,245415,23075,-0.0008335157181136,5000.0,5000.000833515718,0.01043701171875,0.03515625,0.05419921875,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.9252,0.0,0.0748,0.0,0.5305123216601816,0.0,0.6169786096256684,0.0,0.5737454656429251,0.0
peacoqc,source_timewarp,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_source_timewarp.fcs,ok,trimix,"40,50,10",2,433750,66250,0.8675,0.1325,0.5234028818443804,0.5062037735849056,0.5148033277146431,227026,33536,-0.0008335157181136,5000.0,5000.000833515718,0.01043701171875,0.03515625,0.05419921875,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.8675,0.0,0.1325,0.0,0.5234028818443804,0.0,0.5062037735849056,0.0,0.5148033277146431,0.0
flowcut,source_timewarp,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_source_timewarp.fcs,ok,trimix,"40,50,10",2,450828,49172,0.901656,0.098344,0.5567600060333431,0.8223175791100626,0.6895387925717029,251003,40435,-0.0008335157181136,5000.0,5000.000833515718,0.01043701171875,0.03515625,0.05419921875,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.896,0.0056559999999999,0.104,-0.0056559999999999,0.5590736607142858,-0.0023136546809426,0.8216346153846154,0.0006829637254472,0.6903541380494506,-0.0008153454777476
flowmop,random_timewarp,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_random_timewarp.fcs,ok,trimix,"40,50,10",2,462600,37400,0.9252,0.0748,0.5305123216601816,0.6169786096256684,0.5737454656429251,245415,23075,-0.0008335157181136,5000.0,5000.000833515718,0.0103759765625,0.02392578125,0.0322265625,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.9252,0.0,0.0748,0.0,0.5305123216601816,0.0,0.6169786096256684,0.0,0.5737454656429251,0.0
peacoqc,random_timewarp,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_random_timewarp.fcs,ok,trimix,"40,50,10",2,433750,66250,0.8675,0.1325,0.5234028818443804,0.5062037735849056,0.5148033277146431,227026,33536,-0.0008335157181136,5000.0,5000.000833515718,0.0103759765625,0.02392578125,0.0322265625,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.8675,0.0,0.1325,0.0,0.5234028818443804,0.0,0.5062037735849056,0.0,0.5148033277146431,0.0
flowcut,random_timewarp,A05A1A3_405010_trimix.fcs,inputs/A05A1A3_405010_trimix_random_timewarp.fcs,ok,trimix,"40,50,10",2,448000,52000,0.896,0.104,0.5590736607142858,0.8216346153846154,0.6903541380494506,250465,42725,-0.0008335157181136,5000.0,5000.000833515718,0.0103759765625,0.02392578125,0.0322265625,289,1:191946;2:259740;3:48314,1:1;2:10.5;3:20,0,500000,,,0.896,0.0,0.104,0.0,0.5590736607142858,0.0,0.8216346153846154,0.0,0.6903541380494506,0.0
flowmop,raw,A05A1_1090_segment.fcs,inputs/A05A1_1090_segment_raw.fcs,ok,segment,"10,90",2,416300,83700,0.8326,0.1674,1.0,0.7473476702508961,0.873673835125448,416300,62553,0.0,1818787.0,1818787.0,2.0,35.0,145.0,1,1:62553;2:437447,1:1;2:20,0,500000,,,0.8326,0.0,0.1674,0.0,1.0,0.0,0.7473476702508961,0.0,0.873673835125448,0.0
peacoqc,raw,A05A1_1090_segment.fcs,inputs/A05A1_1090_segment_raw.fcs,ok,segment,"10,90",2,398750,101250,0.7975,0.2025,1.0,0.6178074074074074,0.8089037037037037,398750,62553,0.0,1818787.0,1818787.0,2.0,35.0,145.0,1,1:62553;2:437447,1:1;2:20,0,500000,,,0.7975,0.0,0.2025,0.0,1.0,0.0,0.6178074074074074,0.0,0.8089037037037037,0.0
flowcut,raw,A05A1_1090_segment.fcs,inputs/A05A1_1090_segment_raw.fcs,ok,segment,"10,90",2,479428,20572,0.958856,0.041144,0.8863624986442177,0.3923779895002917,0.6393702440722546,424947,8072,0.0,1818787.0,1818787.0,2.0,35.0,145.0,1,1:62553;2:437447,1:1;2:20,0,500000,,,0.958856,0.0,0.041144,0.0,0.8863624986442177,0.0,0.3923779895002917,0.0,0.6393702440722546,0.0
